date,effr,gdp,u,nber,cpi,m2,oil,ip,ys,cli
1950-01-01,,16.7,6.4,0,,,2.570,,,
1950-04-01,,12.8,5.6,0,,,2.570,,,
1950-07-01,,16.4,4.6,0,,,2.570,,,
1950-10-01,,7.9,4.2,0,,,2.570,,,
1951-01-01,,5.5,3.5,0,,,2.570,,,
1951-04-01,,7.1,3.1,0,,,2.570,,,
1951-07-01,,8.5,3.2,0,,,2.570,,,
1951-10-01,,0.9,3.4,0,,,2.570,,,
1952-01-01,,4.3,3.1,0,,,2.570,,,
1952-04-01,,0.9,3.0,0,,,2.570,,,
1952-07-01,,2.9,3.2,0,,,2.570,,,
1952-10-01,,13.8,2.8,0,,,2.570,,,
1953-01-01,,7.6,2.7,0,,,2.570,,,
1953-04-01,,3.1,2.6,0,,,2.653,,,
1953-07-01,,-2.2,2.7,1,,,2.820,,-0.03475,
1953-10-01,,-5.9,3.7,1,,,2.820,,6.86568,
1954-01-01,,-1.9,5.3,1,,,2.820,,13.69231,
1954-04-01,,0.4,5.8,1,,,2.820,,5.56821,
1954-07-01,1.03,4.6,6.0,0,,,2.820,,1.51188,
1954-10-01,0.99,8.1,5.3,0,,,2.820,,-10.39174,
1955-01-01,1.34,11.9,4.7,0,,,2.820,,-13.63585,
1955-04-01,1.50,6.7,4.4,0,,,2.820,,-7.52287,
1955-07-01,1.94,5.5,4.1,0,,,2.820,,-4.44544,
1955-10-01,2.36,2.4,4.2,0,,,2.820,,-5.15848,
1956-01-01,2.48,-1.5,4.0,0,,,2.820,,-1.68021,
1956-04-01,2.69,3.3,4.2,0,,,2.820,,-4.22972,
1956-07-01,2.81,-0.4,4.1,0,,,2.820,,-1.75541,
1956-10-01,2.93,6.7,4.1,0,,,2.820,,-1.72922,
1957-01-01,2.93,2.6,3.9,0,,,2.987,,1.52611,
1957-04-01,3.00,-0.9,4.1,0,,,3.070,,0.86171,
1957-07-01,3.23,4.0,4.2,0,,,3.070,,-1.78278,
1957-10-01,3.25,-4.1,4.9,1,,,3.047,,1.99815,
1958-01-01,1.86,-10.0,6.3,1,,,3.070,,12.47706,
1958-04-01,0.94,2.7,7.4,0,,,3.070,,14.97671,
1958-07-01,1.32,9.6,7.3,0,,,3.070,,-23.13080,
1958-10-01,2.16,9.7,6.4,0,,,3.023,,-13.53968,
1959-01-01,2.57,7.9,5.8,0,,,2.990,,-2.37034,
1959-04-01,3.08,9.3,5.1,0,,1.5,2.970,,-1.79120,
1959-07-01,3.58,0.3,5.3,0,,1.4,2.970,,-4.90829,
1959-10-01,3.99,1.1,5.6,0,,0.3,2.970,,-2.31669,
1960-01-01,3.93,9.3,5.1,0,-0.1133786848072600,0.5,2.970,,2.90786,
1960-04-01,3.70,-2.1,5.2,1,0.5675368898978420,0.8,2.970,,4.01294,0.0
1960-07-01,2.94,2.0,5.5,1,0.2257336343115210,1.8,2.970,,7.80225,0.2
